,gene
917,Anp32b-ps1
918,Anp32e
919,Anpep
920,Antxr1
921,Antxr2
922,Anxa1
923,Anxa11
924,Anxa13
925,Anxa2
926,Anxa3
927,Anxa4
928,Anxa5
929,Anxa6
930,Anxa7
931,Anxa8
932,Anxa9
933,Aoah
934,Aoc1
935,Aoc3
936,Aopep
937,Aox1
938,Aox2
939,Aox3
940,Aox4
941,Ap1ar
942,Ap1b1
943,Ap1g1
944,Ap1m1
945,Ap1s1
946,Ap1s2
947,Ap2a1
948,Ap2a2
949,Ap2b1
950,Ap2m1
951,Ap2m1-ps
952,Ap2s1
953,Ap3b1
954,Ap3b2
955,Ap3d1
956,Ap3m1
957,Ap3m2
958,Ap3s1
959,Ap3s2
960,Ap4e1
961,Ap4s1
962,Ap5m1
963,Apaf1
964,Apba1
965,Apba2
966,Apba3
967,Apbb1
968,Apbb1ip
969,Apbb2
970,Apc
971,Apeh
972,Apex2
973,Aph1a
974,Aph1b
975,Aph1c
976,Api5
977,Apip
978,Aplf
979,Aplp1
980,Aplp2
981,Apmap
982,Apobec1
983,Apobec3
984,Apod
985,Apol10b
986,Apol7d
987,Apol9a
988,Apol9b
989,Apoo
990,Apoo-ps
991,Apool
992,Apopt1
993,App
994,Appbp2
995,Appl1
996,Appl2
997,Aprt
998,Aptx
999,Aqp5
1000,Aqp9
1001,Aqr
1002,Ar
1003,Araf
1004,Arap1
1005,Arap2
1006,Arcn1
1007,Arel1
1008,Arf1
1009,Arf2
1010,Arf3
1011,Arf4
1012,Arf5
1013,Arf6
1014,Arfgap1
1015,Arfgap3
1016,Arfgef1
1017,Arfgef2
1018,Arfgef3
1019,Arfip1
1020,Arfip2
1021,Arfrp1
1022,Arglu1
1023,Arhgap1
1024,Arhgap10
1025,Arhgap11a
1026,Arhgap12
1027,Arhgap15
1028,Arhgap17
1029,Arhgap18
1030,Arhgap19
1031,Arhgap21
1032,Arhgap22
1033,Arhgap23
1034,Arhgap24
1035,Arhgap25
1036,Arhgap26
1037,Arhgap28
1038,Arhgap29
1039,Arhgap31
1040,Arhgap32
1041,Arhgap35
1042,Arhgap39
1043,Arhgap40
1044,Arhgap42
1045,Arhgap44
1046,Arhgap45
1047,Arhgap5
1048,Arhgdia
1049,Arhgdib
1050,Arhgef1
