"","colnames.protein_input_750wide_norm.","SampleID","Group","Batch","Channel"
"124","SVEC_B7_4","SVEC_B7_4","SVEC","B7","SVEC_4"
"125","SVEC_B8_1","SVEC_B8_1","SVEC","B8","SVEC_1"
"126","SVEC_B8_2","SVEC_B8_2","SVEC","B8","SVEC_2"
"127","SVEC_B8_3","SVEC_B8_3","SVEC","B8","SVEC_3"
"128","SVEC_B8_4","SVEC_B8_4","SVEC","B8","SVEC_4"
"129","SVEC_C1_1","SVEC_C1_1","SVEC","C1","SVEC_1"
"130","SVEC_C1_2","SVEC_C1_2","SVEC","C1","SVEC_2"
"131","SVEC_C1_3","SVEC_C1_3","SVEC","C1","SVEC_3"
"132","SVEC_C1_4","SVEC_C1_4","SVEC","C1","SVEC_4"
"133","SVEC_C2_1","SVEC_C2_1","SVEC","C2","SVEC_1"
"134","SVEC_C2_2","SVEC_C2_2","SVEC","C2","SVEC_2"
"135","SVEC_C2_3","SVEC_C2_3","SVEC","C2","SVEC_3"
"136","SVEC_C2_4","SVEC_C2_4","SVEC","C2","SVEC_4"
"137","SVEC_C3_1","SVEC_C3_1","SVEC","C3","SVEC_1"
"138","SVEC_C3_2","SVEC_C3_2","SVEC","C3","SVEC_2"
"139","SVEC_C3_3","SVEC_C3_3","SVEC","C3","SVEC_3"
"140","SVEC_C3_4","SVEC_C3_4","SVEC","C3","SVEC_4"
"141","SVEC_C4_1","SVEC_C4_1","SVEC","C4","SVEC_1"
"142","SVEC_C4_2","SVEC_C4_2","SVEC","C4","SVEC_2"
"143","SVEC_C4_3","SVEC_C4_3","SVEC","C4","SVEC_3"
"144","SVEC_C4_4","SVEC_C4_4","SVEC","C4","SVEC_4"
"145","SVEC_C5_1","SVEC_C5_1","SVEC","C5","SVEC_1"
"146","SVEC_C5_2","SVEC_C5_2","SVEC","C5","SVEC_2"
"147","SVEC_C5_3","SVEC_C5_3","SVEC","C5","SVEC_3"
"148","SVEC_C5_4","SVEC_C5_4","SVEC","C5","SVEC_4"
"149","SVEC_C6_1","SVEC_C6_1","SVEC","C6","SVEC_1"
"150","SVEC_C6_2","SVEC_C6_2","SVEC","C6","SVEC_2"
"151","SVEC_C6_3","SVEC_C6_3","SVEC","C6","SVEC_3"
"152","SVEC_C6_4","SVEC_C6_4","SVEC","C6","SVEC_4"
"153","SVEC_C7_1","SVEC_C7_1","SVEC","C7","SVEC_1"
"154","SVEC_C7_2","SVEC_C7_2","SVEC","C7","SVEC_2"
"155","SVEC_C7_3","SVEC_C7_3","SVEC","C7","SVEC_3"
"156","SVEC_C7_4","SVEC_C7_4","SVEC","C7","SVEC_4"
"157","SVEC_C8_1","SVEC_C8_1","SVEC","C8","SVEC_1"
"158","SVEC_C8_2","SVEC_C8_2","SVEC","C8","SVEC_2"
"159","SVEC_C8_3","SVEC_C8_3","SVEC","C8","SVEC_3"
"160","SVEC_C8_4","SVEC_C8_4","SVEC","C8","SVEC_4"
